시간,동작,내용
2026-04-29 11:40:09,스텝정지,모터 OFF
2026-04-29 11:40:29,스텝전진,무한 정방향
2026-04-29 11:40:34,스텝정지,모터 OFF
2026-04-29 11:40:35,정방향구동,속도=70%
2026-04-29 11:40:36,정지,컨베이어 정지
2026-04-29 11:40:37,역방향구동,속도=70%
2026-04-29 11:40:37,정지,컨베이어 정지
2026-04-29 11:40:38,스텝전진,무한 정방향
2026-04-29 11:40:45,스텝정지,모터 OFF
2026-04-29 11:40:55,스텝전진,무한 정방향
2026-04-29 11:40:57,스텝정지,모터 OFF
2026-04-29 11:41:06,스텝전진,무한 정방향
2026-04-29 11:41:09,스텝정지,모터 OFF
2026-04-29 11:41:23,스텝전진,무한 정방향
2026-04-29 11:41:23,스텝정지,모터 OFF
2026-04-29 11:41:23,스텝정지,모터 OFF
2026-04-29 11:41:25,스텝전진,무한 정방향
2026-04-29 11:41:28,스텝정지,모터 OFF
2026-04-29 11:41:42,정방향구동,속도=70%
2026-04-29 11:41:43,역방향구동,속도=70%
2026-04-29 11:41:44,정방향구동,속도=70%
2026-04-29 11:41:45,역방향구동,속도=70%
2026-04-29 11:41:46,정방향구동,속도=70%
2026-04-29 11:41:46,역방향구동,속도=70%
2026-04-29 11:41:47,정방향구동,속도=70%
2026-04-29 11:41:48,정지,컨베이어 정지
2026-04-29 11:41:50,정방향구동,속도=80%
2026-04-29 11:41:52,정지,컨베이어 정지
2026-04-29 11:41:56,정방향구동,속도=100%
2026-04-29 11:41:58,정지,컨베이어 정지
2026-04-29 11:42:12,정방향구동,속도=100%
2026-04-29 11:42:15,정지,컨베이어 정지
2026-04-29 11:42:21,정방향구동,속도=100%
2026-04-29 11:42:35,정지,컨베이어 정지
2026-04-29 11:42:46,스텝전진,무한 정방향
2026-04-29 11:42:51,스텝정지,모터 OFF
2026-04-29 11:43:55,정방향구동,속도=70%
2026-04-29 11:43:56,역방향구동,속도=70%
2026-04-29 11:43:56,정방향구동,속도=70%
2026-04-29 11:43:57,역방향구동,속도=70%
2026-04-29 11:43:57,정방향구동,속도=70%
2026-04-29 11:43:58,정지,컨베이어 정지
2026-04-29 11:44:06,스텝전진,무한 정방향
2026-04-29 11:44:23,스텝정지,모터 OFF
2026-04-29 11:44:33,스텝전진,무한 정방향
2026-04-29 11:44:34,스텝후진,무한 역방향
2026-04-29 11:44:35,스텝정지,모터 OFF
2026-04-29 11:44:35,스텝전진,무한 정방향
2026-04-29 11:44:39,스텝정지,모터 OFF
2026-04-29 11:45:03,스텝전진,무한 정방향
2026-04-29 11:45:07,스텝후진,무한 역방향
2026-04-29 11:45:08,스텝정지,모터 OFF
2026-04-29 11:45:13,정방향구동,속도=70%, 시간=100ms
2026-04-29 11:45:13,자동정지,시간 초과
2026-04-29 11:45:17,정방향구동,속도=70%, 시간=1000ms
